HOG	OG	Gene Tree Parent Clade	alpc	cambac	camdro	camfer	guanc	llama	vicgn
N3.HOG0000053	OG0000007	n55	rna-XM_015251763.2	rna-XM_010974211.1	rna-XM_010980162.2	rna-XM_014557174.2	rna-XM_015251763.2	rna-XM_015251763.2	rna-XM_015251763.2
N3.HOG0000054	OG0000007	n61	rna-XM_015251767.2	rna-XM_010974187.1	rna-XM_031435503.1	rna-XM_032463428.1	rna-XM_015251767.2	rna-XM_015251767.2	rna-XM_015251767.2
N3.HOG0000055	OG0000007	n68	rna-XM_031688276.1	rna-XM_010974171.1	rna-XM_031435509.1	rna-XM_032463430.1	rna-XM_031688276.1	rna-XM_031688276.1	rna-XM_031688276.1
N3.HOG0000056	OG0000007	n83	rna-XM_031688911.1	rna-XM_010958527.1	rna-XM_031436525.1	rna-XM_032464403.1	rna-XM_031688911.1	rna-XM_031688911.1	rna-XM_031688911.1
N3.HOG0000057	OG0000008	n1		rna-XM_010953433.1	rna-XM_031443532.1	rna-XM_032472481.1			
N3.HOG0000058	OG0000008	n11	rna-XM_006218928.3	rna-XM_010974196.1	rna-XM_031435486.1	rna-XM_032463409.1	rna-XM_006218928.3	rna-XM_006218928.3	rna-XM_006218928.3
N3.HOG0000059	OG0000008	n18	rna-XM_015248758.2	rna-XM_010974145.1	rna-XM_031435489.1	rna-XM_032463410.1	rna-XM_015248758.2	rna-XM_015248758.2	rna-XM_015248758.2
N3.HOG0000060	OG0000008	n28	rna-XM_031688262.1	rna-XM_010974208.1	rna-XM_031435487.1	rna-XM_032463411.1	rna-XM_031688262.1	rna-XM_031688262.1	rna-XM_031688262.1
N3.HOG0000061	OG0000008	n45		rna-XM_010974150.1	"rna-XM_031435492.1, rna-XM_031435491.1"	"rna-XM_006194164.2, rna-XM_032463414.1"			
N3.HOG0000062	OG0000008	n50	rna-XM_006215262.3	"rna-XM_010974156.1, rna-XM_010974154.1"	rna-XM_031435488.1	"rna-XM_006194161.3, rna-XM_032463415.1"	rna-XM_006215262.3	rna-XM_006215262.3	rna-XM_006215262.3
N3.HOG0000063	OG0000008	n59	"rna-XM_031688009.1, rna-XM_006218915.3"	rna-XM_010974166.1	rna-XM_010980195.2	rna-XM_014557166.2	"rna-XM_031688009.1, rna-XM_006218915.3"	"rna-XM_031688009.1, rna-XM_006218915.3"	"rna-XM_031688009.1, rna-XM_006218915.3"
N3.HOG0000064	OG0000008	n69	rna-XM_015251764.2	rna-XM_010974186.1	rna-XM_010980184.2	rna-XM_006182165.3	rna-XM_015251764.2	rna-XM_015251764.2	rna-XM_015251764.2
N3.HOG0000065	OG0000008	n75	rna-XM_015251607.2	rna-XM_010953871.1	rna-XM_010986095.2	rna-XM_006173127.3	rna-XM_015251607.2	rna-XM_015251607.2	rna-XM_015251607.2
N3.HOG0000066	OG0000009	n73				rna-XM_032463486.1	rna-XM_031672554.1		
N3.HOG0000067	OG0000009	n75	rna-XM_031672566.1	rna-XM_010974081.1			rna-XM_015248702.1	rna-XM_031672560.1	
N3.HOG0000068	OG0000009	n79	rna-XM_031672555.1			rna-XM_032463481.1			
N3.HOG0000069	OG0000009	n80	rna-XM_015248731.2	rna-XM_010961592.1				rna-XM_015248731.2	
N3.HOG0000070	OG0000009	n82	rna-XM_031688303.1	"rna-XM_010961543.1, rna-XM_010961542.1"		rna-XM_032463475.1	rna-XM_031688303.1	rna-XM_031688303.1	rna-XM_031688303.1
N3.HOG0000071	OG0000009	n88	rna-XM_031688306.1				rna-XM_031688306.1		rna-XM_031688306.1
N3.HOG0000072	OG0000012	n6	rna-XM_006212337.2		rna-XM_031460674.1		rna-XM_006212337.2	rna-XM_006212337.2	rna-XM_006212337.2
N3.HOG0000073	OG0000012	n10	rna-XM_015252184.1	"rna-XM_010965014.1, rna-XM_010964512.1"	"rna-XM_010997623.2, rna-XM_031460721.1"	"rna-XM_032490483.1, rna-XM_006194342.2"	rna-XM_015252184.1	rna-XM_015252184.1	rna-XM_015252184.1
N3.HOG0000074	OG0000012	n19	rna-XM_006212237.1	rna-XM_010964515.1	"rna-XM_031459357.1, rna-XM_011000702.1"	"rna-XM_032490440.1, rna-XM_006190276.2"	rna-XM_006212237.1	rna-XM_006212237.1	rna-XM_006212237.1
N3.HOG0000075	OG0000012	n31	rna-XM_006212236.1				rna-XM_006212236.1	rna-XM_006212236.1	rna-XM_006212236.1
N3.HOG0000076	OG0000012	n35	rna-XM_006219410.1	"rna-XM_010965019.1, rna-XM_010970195.1"	rna-XM_031441669.1	"rna-XM_032474190.1, rna-XM_032490482.1, rna-XM_006174681.2"	rna-XM_006219410.1	rna-XM_006219410.1	rna-XM_006219410.1
N3.HOG0000077	OG0000012	n44	rna-XM_015252193.2	rna-XM_010965013.1	rna-XM_031460719.1	rna-XM_006193878.2	rna-XM_015252193.2	rna-XM_015252193.2	rna-XM_015252193.2
N3.HOG0000078	OG0000012	n51	rna-XM_006219402.2				rna-XM_006219402.2	rna-XM_006219402.2	rna-XM_006219402.2
N3.HOG0000079	OG0000012	n55		rna-XM_010970192.1	rna-XM_031441672.1	rna-XM_032470421.1			
N3.HOG0000080	OG0000012	n65		"rna-XM_010970193.1, rna-XM_010964506.1"	"rna-XM_031441668.1, rna-XM_010997077.2"	"rna-XM_006174679.2, rna-XM_032490439.1"			
N3.HOG0000081	OG0000014	n1	rna-XM_006214531.3	rna-XM_010967317.1	rna-XM_010996090.2	rna-XM_006190111.3	rna-XM_006214531.3	rna-XM_006214531.3	rna-XM_006214531.3
N3.HOG0000082	OG0000014	n14	rna-XM_006214533.3	rna-XM_010967319.1	rna-XM_010996092.2	rna-XM_032486358.1	rna-XM_006214533.3	rna-XM_006214533.3	rna-XM_006214533.3
N3.HOG0000083	OG0000014	n21	rna-XM_031680603.1	rna-XM_010967325.1	rna-XM_010996094.2	rna-XM_006179779.3	rna-XM_031680603.1	rna-XM_031680603.1	rna-XM_031680603.1
N3.HOG0000084	OG0000014	n30	rna-XM_006214534.3					rna-XM_006214534.3	
N3.HOG0000085	OG0000014	n34	rna-XM_006214535.3	rna-XM_010967320.1	rna-XM_010996098.2	rna-XM_006179781.3	rna-XM_006214535.3	rna-XM_006214535.3	rna-XM_006214535.3
N3.HOG0000086	OG0000014	n49		rna-XM_010967318.1	rna-XM_010996091.2	rna-XM_006179777.3			
N3.HOG0000087	OG0000014	n55	rna-XM_015248103.2	rna-XM_010967323.1	rna-XM_010996096.2	rna-XM_006190107.3	rna-XM_015248103.2	rna-XM_015248103.2	rna-XM_015248103.2
N3.HOG0000088	OG0000014	n62	rna-XM_015235189.2	rna-XM_010951932.1	rna-XM_031466467.1	rna-XM_032496906.1	rna-XM_015235189.2	rna-XM_015235189.2	rna-XM_015235189.2
N3.HOG0000089	OG0000015	n7	rna-XM_006197025.2	rna-XM_010957781.1	rna-XM_011000930.2	rna-XM_006193769.2	rna-XM_006197025.2	rna-XM_006197025.2	rna-XM_006197025.2
N3.HOG0000090	OG0000015	n15	rna-XM_006197026.2	rna-XM_010957780.1	rna-XM_011000931.2	rna-XM_032494770.1	rna-XM_006197026.2	rna-XM_006197026.2	rna-XM_006197026.2
N3.HOG0000091	OG0000015	n21	rna-XM_031683590.1	rna-XM_010957779.1	rna-XM_011000932.2	rna-XM_006193767.2	rna-XM_031683590.1	rna-XM_031683590.1	rna-XM_031683590.1
N3.HOG0000092	OG0000015	n28	rna-XM_031683591.1	rna-XM_010957777.1		rna-XM_032494797.1	rna-XM_031683591.1	rna-XM_031683591.1	rna-XM_031683591.1
N3.HOG0000093	OG0000015	n33	rna-XM_006197027.3	rna-XM_010957778.1	rna-XM_031465550.1	rna-XM_032494796.1	rna-XM_006197027.3	rna-XM_006197027.3	rna-XM_006197027.3
N3.HOG0000094	OG0000015	n40	rna-XM_006197024.3	rna-XM_010957782.1	rna-XM_011000929.2		rna-XM_006197024.3	rna-XM_006197024.3	rna-XM_006197024.3
N3.HOG0000095	OG0000015	n45	rna-XM_006197023.1	rna-XM_010957783.1	rna-XM_011000928.2		rna-XM_006197023.1	rna-XM_006197023.1	rna-XM_006197023.1
N3.HOG0000096	OG0000016	n18		rna-XM_010963386.1		rna-XM_032498158.1			
N3.HOG0000097	OG0000016	n20			rna-XM_031469709.1	rna-XM_032498181.1			
N3.HOG0000098	OG0000016	n23	rna-XM_031686014.1	rna-XM_010963339.1	rna-XM_031469708.1		rna-XM_031686014.1	rna-XM_031686014.1	rna-XM_031686014.1
N3.HOG0000099	OG0000016	n28			rna-XM_031468137.1	"rna-XM_032498161.1, rna-XM_032498160.1, rna-XM_032498168.1"			
N3.HOG0000100	OG0000016	n41	rna-XM_031686000.1	rna-XM_010946560.1	"rna-XM_031468133.1, rna-XM_031468135.1"	"rna-XM_032498155.1, rna-XM_032498159.1"	rna-XM_031685998.1	rna-XM_031686000.1	rna-XM_031686000.1
N3.HOG0000101	OG0000017	n6	rna-XM_006203486.1				rna-XM_006203486.1	rna-XM_006203486.1	rna-XM_006203486.1
N3.HOG0000102	OG0000017	n10		rna-XM_010965050.1		rna-XM_006180856.3			
N3.HOG0000103	OG0000017	n12	rna-XM_006203487.1	rna-XM_010965049.1	rna-XM_010985956.2	rna-XM_032490459.1	rna-XM_006203487.1	rna-XM_006203487.1	rna-XM_006203487.1
N3.HOG0000104	OG0000017	n19	rna-XM_031681014.1		rna-XM_031459287.1		rna-XM_031681014.1	rna-XM_031681014.1	rna-XM_031681014.1
N3.HOG0000105	OG0000017	n23	rna-XM_015238399.1	rna-XM_010965046.1	rna-XM_010985961.2		rna-XM_015238399.1	rna-XM_015238399.1	rna-XM_015238399.1
N3.HOG0000106	OG0000018	n11	rna-XM_015251742.2	"rna-XM_010945772.1, rna-XM_010974155.1"			"rna-XM_015251742.2, rna-XM_031688008.1"	rna-XM_015251742.2	rna-XM_015251742.2
N3.HOG0000107	OG0000018	n25			"rna-XM_031435485.1, rna-XM_031435483.1"	"rna-XM_014557168.2, rna-XM_014557169.2"			
N3.HOG0000108	OG0000018	n31	"rna-XM_006219751.2, rna-XM_006216912.3"	rna-XM_010958528.1	"rna-XM_031436523.1, rna-XM_031436530.1"	rna-XM_032464744.1	rna-XM_006219751.2	"rna-XM_006219751.2, rna-XM_006216912.3"	rna-XM_006219751.2
N3.HOG0000109	OG0000019	n4	rna-XM_006215384.2	rna-XM_010945758.1	rna-XM_010974718.2	rna-XM_006192040.2	rna-XM_006215384.2	rna-XM_006215384.2	rna-XM_006215384.2
N3.HOG0000110	OG0000019	n12	rna-XM_006215386.2	rna-XM_010974115.1	"rna-XM_010974716.2, rna-XM_031446862.1"	rna-XM_006192042.2	rna-XM_006215386.2	rna-XM_006215386.2	rna-XM_006215386.2
N3.HOG0000111	OG0000019	n20	rna-XM_015248776.2	rna-XM_010974118.1	rna-XM_010974717.2	rna-XM_006192041.2	rna-XM_015248776.2	rna-XM_015248776.2	rna-XM_015248776.2
N3.HOG0000112	OG0000019	n26	rna-XM_006215265.2	rna-XM_010974119.1	rna-XM_010974683.2	rna-XM_006192030.2	rna-XM_006215265.2	rna-XM_006215265.2	rna-XM_006215265.2
N3.HOG0000113	OG0000020	n24				"rna-XM_032458604.1, rna-XM_032458603.1"	rna-XM_031686617.1		
N3.HOG0000114	OG0000020	n28	rna-XM_031686616.1		rna-XM_031471140.1	rna-XM_032458600.1	rna-XM_031686616.1		rna-XM_031686616.1
N3.HOG0000115	OG0000020	n33		"rna-XM_010973188.1, rna-XM_010969263.1, rna-XM_010973176.1"	"rna-XM_031470238.1, rna-XM_031471139.1"	"rna-XM_006173484.3, rna-XM_032458606.1, rna-XM_032458605.1, rna-XM_006173483.2"	rna-XM_031686611.1		
N3.HOG0000116	OG0000020	n44	rna-XM_031686619.1	rna-XM_010973169.1	rna-XM_031471142.1	"rna-XM_032458613.1, rna-XM_032458609.1"		rna-XM_031686618.1	
N3.HOG0000117	OG0000020	n51			rna-XM_031470237.1	"rna-XM_032458599.1, rna-XM_032459436.1"		rna-XM_031686616.1	
N3.HOG0000118	OG0000020	n54	rna-XM_031686613.1		"rna-XM_031470239.1, rna-XM_031470235.1, rna-XM_031470236.1"	rna-XM_032458601.1		rna-XM_031686611.1	rna-XM_031686611.1
N3.HOG0000119	OG0000021	n12		rna-XM_010971805.1			rna-XM_031672254.1		
N3.HOG0000120	OG0000021	n13	rna-XM_031671056.1	rna-XM_010971807.1			rna-XM_031671056.1	rna-XM_031671056.1	
N3.HOG0000121	OG0000021	n16	"rna-XM_031671604.1, rna-XM_031672254.1"			rna-XM_014552827.2	rna-XM_031671604.1	rna-XM_031671604.1	rna-XM_031672254.1
N3.HOG0000122	OG0000021	n21	rna-XM_031671073.1	rna-XM_010971804.1	rna-XM_031449175.1	rna-XM_032476912.1	rna-XM_031671073.1	rna-XM_031671073.1	rna-XM_031671073.1
N3.HOG0000123	OG0000021	n35	rna-XM_015234366.2		rna-XM_031446906.1		rna-XM_015234366.2	rna-XM_015234366.2	rna-XM_015234366.2
N3.HOG0000124	OG0000021	n40		rna-XM_010971802.1	rna-XM_031449174.1	rna-XM_032476914.1			
N3.HOG0000125	OG0000021	n47		rna-XM_010971803.1		rna-XM_032476917.1			
N3.HOG0000126	OG0000022	n1	rna-XM_006198710.3	rna-XM_010968586.1	"rna-XM_031435276.1, rna-XM_031446782.1, rna-XM_031446918.1, rna-XM_010999568.2, rna-XM_031435275.1"	"rna-XM_032462408.1, rna-XM_032462409.1"	rna-XM_006198710.3	rna-XM_006198710.3	rna-XM_006198710.3
N3.HOG0000127	OG0000022	n24	rna-XM_015240908.2	rna-XM_010966779.1	rna-XM_031437067.1	rna-XM_032465754.1	rna-XM_015240908.2	rna-XM_015240908.2	rna-XM_015240908.2
N3.HOG0000128	OG0000022	n35	rna-XM_031677063.1	rna-XM_010960604.1	rna-XM_031451012.1	rna-XM_032479004.1	rna-XM_031677063.1	rna-XM_031677063.1	rna-XM_031677063.1
N3.HOG0000129	OG0000022	n43		rna-XM_010958120.1	rna-XM_031439227.1	rna-XM_032467191.1			
N3.HOG0000130	OG0000022	n49	rna-XM_031671904.1	rna-XM_010969993.1	rna-XM_010998043.2	rna-XM_032464698.1	rna-XM_031671904.1	rna-XM_031671904.1	rna-XM_031671904.1
N3.HOG0000131	OG0000023	n0	rna-XM_006211005.3	rna-XM_010959689.1	rna-XM_010980230.2	rna-XM_032496772.1	rna-XM_006211005.3	rna-XM_006211005.3	rna-XM_006211005.3
N3.HOG0000132	OG0000024	n7	rna-XM_006214041.1	rna-XM_010970160.1	rna-XM_031459345.1	rna-XM_006194524.2	rna-XM_006214041.1	rna-XM_006214041.1	rna-XM_006214041.1
N3.HOG0000133	OG0000024	n20	rna-XM_006214042.2	rna-XM_010970128.1	"rna-XM_031447031.1, rna-XM_010981230.2"	"rna-XM_006195402.2, rna-XM_032488694.1"		rna-XM_006214042.2	rna-XM_006214042.2
N3.HOG0000134	OG0000024	n28	rna-XM_006214141.2	rna-XM_010970132.1		rna-XM_032488692.1	rna-XM_006214141.2	rna-XM_006214141.2	rna-XM_006214141.2
N3.HOG0000135	OG0000024	n36			rna-XM_010981235.2		rna-XM_006214042.2		
N3.HOG0000136	OG0000024	n37	rna-XM_006214040.2	rna-XM_010970129.1		"rna-XM_006194522.2, rna-XM_032488693.1"	rna-XM_006214040.2	rna-XM_006214040.2	rna-XM_006214040.2
N3.HOG0000137	OG0000024	n46	rna-XM_015247849.1	rna-XM_010970131.1		rna-XM_014563442.1	rna-XM_015247849.1	rna-XM_015247849.1	rna-XM_015247849.1
N3.HOG0000138	OG0000024	n51	rna-XM_006214143.1	rna-XM_010970130.1	rna-XM_010981232.2	rna-XM_006189653.2	rna-XM_006214143.1	rna-XM_006214143.1	rna-XM_006214143.1
N3.HOG0000139	OG0000025	n40	rna-XM_015242520.2				rna-XM_015242520.2	rna-XM_015242520.2	rna-XM_015242520.2
N3.HOG0000140	OG0000025	n45	rna-XM_015242521.2	rna-XM_010966465.1	rna-XM_031457380.1	rna-XM_006181075.2	rna-XM_015242521.2	rna-XM_015242521.2	rna-XM_015242521.2
N3.HOG0000141	OG0000025	n51	rna-XM_031672323.1	rna-XM_010966424.1	rna-XM_031457480.1	rna-XM_014565628.2	rna-XM_031672323.1	rna-XM_031672323.1	rna-XM_031672323.1
N3.HOG0000142	OG0000025	n57			rna-XM_031457750.1				
N3.HOG0000143	OG0000026	n2			rna-XM_010978499.2	rna-XM_014565623.2			
N3.HOG0000144	OG0000026	n9	rna-XM_031672324.1		rna-XM_010978498.1	rna-XM_014565625.2	rna-XM_031672324.1	rna-XM_006208065.2	rna-XM_031672324.1
N3.HOG0000145	OG0000026	n27			rna-XM_010978497.2	rna-XM_014565626.2			
N3.HOG0000146	OG0000026	n31	rna-XM_006208064.1				rna-XM_006208064.1	rna-XM_006208064.1	rna-XM_006208064.1
N3.HOG0000147	OG0000026	n36	rna-XM_006208081.1				rna-XM_006208081.1	rna-XM_006208081.1	rna-XM_006208081.1
N3.HOG0000148	OG0000026	n51					rna-XM_006208066.1		
N3.HOG0000149	OG0000027	n1	rna-XM_015240965.2	rna-XM_010954206.1	rna-XM_010997753.2	rna-XM_014554782.1	rna-XM_015240965.2	rna-XM_015240965.2	rna-XM_015240965.2
N3.HOG0000150	OG0000027	n13	rna-XM_015240886.2				rna-XM_015240886.2	rna-XM_015240886.2	rna-XM_015240886.2
