N3.HOG0000002	rna-XM_015251210.2
N3.HOG0019388	rna-XM_031686944.1
N3.HOG0019389	rna-XM_031687251.1
N3.HOG0019390	rna-XM_015236964.2
N3.HOG0019391	rna-XM_031687286.1
N3.HOG0019392	rna-XM_031687966.1
N3.HOG0019393	rna-XM_031687967.1
N3.HOG0019394	rna-XM_031687675.1
N3.HOG0019395	rna-XM_031687975.1
N3.HOG0019396	rna-XM_015237724.2
N3.HOG0019397	rna-XM_031688005.1
N3.HOG0019398	rna-XM_031688015.1
N3.HOG0019399	rna-XM_031688016.1
N3.HOG0019400	rna-XM_015248695.2
N3.HOG0019401	rna-XM_031688337.1
N3.HOG0019402	rna-XM_031688482.1
N3.HOG0019403	rna-XM_031688359.1
N3.HOG0019404	rna-XM_031688343.1
N3.HOG0019405	rna-XM_015237327.2
N3.HOG0019406	rna-XM_031688625.1
N3.HOG0019407	rna-XM_031688734.1
N3.HOG0019408	rna-XM_031688776.1
N3.HOG0019409	rna-XM_031688795.1
N3.HOG0019410	rna-XM_031688822.1
N3.HOG0019411	rna-XM_031688872.1
N3.HOG0019412	rna-XM_015250080.2
N3.HOG0019413	rna-XM_031688995.1
N3.HOG0019414	rna-XM_006215610.3
N3.HOG0019415	rna-XM_031689811.1
N3.HOG0019416	rna-XM_031689875.1
N3.HOG0019417	rna-XM_031689876.1
N3.HOG0019418	rna-XM_031689976.1
N3.HOG0019419	rna-XM_031690099.1
N3.HOG0019420	rna-XM_015247028.2
N3.HOG0019421	rna-XM_031690154.1
N3.HOG0019422	rna-XM_031690166.1
N3.HOG0019424	rna-XM_031690351.1
N3.HOG0019425	rna-XM_031690429.1
N3.HOG0019426	rna-XM_031690549.1
N3.HOG0019427	rna-XM_006214152.1
N3.HOG0019428	rna-XM_031691088.1
N3.HOG0019429	rna-XM_031691094.1
N3.HOG0019430	rna-XM_006214917.2
N3.HOG0019431	rna-XM_015252385.2
N3.HOG0019432	rna-XM_031691112.1
N3.HOG0019433	rna-XM_015244853.2
N3.HOG0019434	rna-XM_031691169.1
N3.HOG0019435	rna-XM_031691137.1
N3.HOG0019436	rna-XM_031691676.1
N3.HOG0019437	rna-XM_031691595.1
N3.HOG0019438	rna-XM_031691602.1
N3.HOG0019439	rna-XM_015234370.2
N3.HOG0019440	rna-XM_031692131.1
N3.HOG0019441	rna-XM_031691901.1
N3.HOG0019442	rna-XM_031691902.1
N3.HOG0019443	rna-XM_031691911.1
N3.HOG0019444	rna-XM_031691998.1
N3.HOG0019445	rna-XM_031691922.1
N3.HOG0019446	rna-XM_015238713.2
N3.HOG0019447	rna-XM_031692218.1
N3.HOG0019448	rna-XM_006204742.1
N3.HOG0019449	rna-XM_031692227.1
N3.HOG0019450	rna-XM_031692355.1
N3.HOG0019451	rna-XM_031692466.1
N3.HOG0019452	rna-XM_031692413.1
N3.HOG0019453	rna-XM_031692549.1
N3.HOG0019454	rna-XM_031692476.1
N3.HOG0019455	rna-XM_031670030.1
N3.HOG0019456	rna-XM_031670202.1
N3.HOG0019457	rna-XM_031670203.1
N3.HOG0019458	rna-XM_031670206.1
N3.HOG0019459	rna-XM_031670208.1
N3.HOG0019460	rna-XM_031670253.1
N3.HOG0019461	rna-XM_015251897.2
N3.HOG0019462	rna-XM_031670319.1
N3.HOG0019463	rna-XM_031670515.1
N3.HOG0019464	rna-XM_031670527.1
N3.HOG0019465	rna-XM_031670543.1
N3.HOG0019466	rna-XM_031670812.1
N3.HOG0019467	rna-XM_031670917.1
N3.HOG0019468	rna-XM_015249271.2
N3.HOG0019469	rna-XM_031670977.1
N3.HOG0019470	rna-XM_031670978.1
N3.HOG0019471	rna-XM_031670981.1
N3.HOG0019472	rna-XM_031670990.1
N3.HOG0019473	rna-XM_031671060.1
N3.HOG0019474	rna-XM_031671141.1
N3.HOG0019475	rna-XM_031671131.1
N3.HOG0019476	rna-XM_031671350.1
N3.HOG0019477	rna-XM_006219703.3
N3.HOG0019478	rna-XM_031671456.1
N3.HOG0019479	rna-XM_031671457.1
N3.HOG0019480	rna-XM_031671462.1
N3.HOG0019481	rna-XM_006210243.3
N3.HOG0019482	rna-XM_031671590.1
N3.HOG0019483	rna-XM_031671612.1
N3.HOG0019484	rna-XM_006219933.1
N3.HOG0019485	rna-XM_031671719.1
N3.HOG0019486	rna-XM_031672172.1
N3.HOG0019487	rna-XM_031672173.1
N3.HOG0019488	rna-XM_031672319.1
N3.HOG0019489	rna-XM_031672349.1
N3.HOG0019490	rna-XM_015234332.2
N3.HOG0019491	rna-XM_031672394.1
N3.HOG0019492	rna-XM_006219626.3
N3.HOG0019493	rna-XM_031672463.1
N3.HOG0019494	rna-XM_031672472.1
N3.HOG0019495	rna-XM_015234349.1
N3.HOG0019496	rna-XM_015234350.2
N3.HOG0019497	rna-XM_031672495.1
N3.HOG0019498	rna-XM_015234372.1
N3.HOG0019499	rna-XM_015234373.1
N3.HOG0019500	rna-XM_031672501.1
N3.HOG0019501	rna-XM_015234374.1
N3.HOG0019503	rna-XM_031672507.1
N3.HOG0019504	rna-XM_031672523.1
N3.HOG0019505	rna-XM_031672525.1
N3.HOG0019506	rna-XM_031672543.1
N3.HOG0019507	rna-XM_015234411.2
N3.HOG0019508	rna-XM_031672577.1
N3.HOG0019509	rna-XM_031672627.1
N3.HOG0019510	rna-XM_031672800.1
N3.HOG0019511	rna-XM_031672693.1
N3.HOG0019512	rna-XM_015237090.2
N3.HOG0019513	rna-XM_015237099.1
N3.HOG0019514	rna-XM_015237076.2
N3.HOG0019515	rna-XM_015251035.1
N3.HOG0019516	rna-XM_031672994.1
N3.HOG0019517	rna-XM_031673161.1
N3.HOG0019518	rna-XM_031673246.1
N3.HOG0019519	rna-XM_031673197.1
N3.HOG0019520	rna-XM_015246707.2
N3.HOG0019521	rna-XM_031673233.1
N3.HOG0019522	rna-XM_031673249.1
N3.HOG0019523	rna-XM_031673251.1
N3.HOG0019524	rna-XM_031673252.1
N3.HOG0019525	rna-XM_031673331.1
N3.HOG0019526	rna-XM_031673333.1
N3.HOG0019528	rna-XM_031673335.1
N3.HOG0019529	rna-XM_031673345.1
N3.HOG0019530	rna-XM_031673363.1
N3.HOG0019531	rna-XM_031673372.1
N3.HOG0019532	rna-XM_031673373.1
N3.HOG0019533	rna-XM_031673374.1
N3.HOG0019535	rna-XM_031673383.1
N3.HOG0019536	rna-XM_031673474.1
N3.HOG0019537	rna-XM_015252529.2
N3.HOG0019538	rna-XM_031673509.1
N3.HOG0019539	rna-XM_015234476.1
N3.HOG0019540	rna-XM_031673554.1
N3.HOG0019541	rna-XM_031673557.1
N3.HOG0019542	rna-XM_031673687.1
N3.HOG0019543	rna-XM_015234489.1
N3.HOG0019544	rna-XM_031673712.1
N3.HOG0019545	rna-XM_031673713.1
N3.HOG0019546	rna-XM_015252551.2
N3.HOG0019547	rna-XM_031673808.1
N3.HOG0019548	rna-XM_006219660.1
N3.HOG0019549	rna-XM_031673819.1
N3.HOG0019550	rna-XM_015234505.1
N3.HOG0019551	rna-XM_031673852.1
N3.HOG0019552	rna-XM_031673856.1
N3.HOG0019553	rna-XM_031673864.1
N3.HOG0019554	rna-XM_015234511.2
N3.HOG0019555	rna-XM_031673948.1
N3.HOG0019556	rna-XM_006220099.2
N3.HOG0019557	rna-XM_031673978.1
N3.HOG0019558	rna-XM_031674001.1
N3.HOG0019559	rna-XM_031674079.1
N3.HOG0019560	rna-XM_015234519.1
N3.HOG0019561	rna-XM_015252466.1
N3.HOG0019562	rna-XM_031674093.1
N3.HOG0019563	rna-XM_031674104.1
N3.HOG0019564	rna-XM_031674182.1
N3.HOG0019565	rna-XM_031674355.1
N3.HOG0019566	rna-XM_031674366.1
N3.HOG0019567	rna-XM_031674367.1
N3.HOG0019568	rna-XM_031674388.1
N3.HOG0019569	rna-XM_031674456.1
N3.HOG0019570	rna-XM_015234524.1
N3.HOG0019571	rna-XM_031674464.1
N3.HOG0019572	rna-XM_031674479.1
N3.HOG0019573	rna-XM_015244217.2
N3.HOG0019574	rna-XM_031674588.1
N3.HOG0019575	rna-XM_015252638.2
N3.HOG0019576	rna-XM_031674825.1
N3.HOG0019577	rna-XM_031674826.1
N3.HOG0019578	rna-XM_031674827.1
N3.HOG0019579	rna-XM_031674829.1
N3.HOG0019580	rna-XM_031674814.1
N3.HOG0019581	rna-XM_031674812.1
N3.HOG0019582	rna-XM_031674856.1
N3.HOG0019583	rna-XM_031674859.1
N3.HOG0019584	rna-XM_031674861.1
N3.HOG0019585	rna-XM_031674885.1
N3.HOG0019586	rna-XM_031674894.1
N3.HOG0019587	rna-XM_031674945.1
N3.HOG0019588	rna-XM_006219620.3
N3.HOG0019589	rna-XM_031675180.1
N3.HOG0019590	rna-XM_031675195.1
N3.HOG0019591	rna-XM_015248678.1
N3.HOG0019592	rna-XM_031675279.1
N3.HOG0019593	rna-XM_031675275.1
N3.HOG0019594	rna-XM_031675303.1
N3.HOG0019595	rna-XM_031675476.1
N3.HOG0019596	rna-XM_031675525.1
N3.HOG0019597	rna-XM_006219123.1
N3.HOG0019598	rna-XM_031675632.1
N3.HOG0019599	rna-XM_031675703.1
N3.HOG0019600	rna-XM_031675797.1
N3.HOG0019601	rna-XM_031675859.1
N3.HOG0019602	rna-XM_031675890.1
N3.HOG0019603	rna-XM_031675943.1
N3.HOG0019604	rna-XM_015252711.2
N3.HOG0019605	rna-XM_031676030.1
N3.HOG0019606	rna-XM_031676042.1
N3.HOG0019607	rna-XM_031676053.1
N3.HOG0019608	rna-XM_031676058.1
N3.HOG0019609	rna-XM_031676169.1
N3.HOG0019610	rna-XM_031676175.1
N3.HOG0019611	rna-XM_015251887.2
N3.HOG0019612	rna-XM_031676177.1
N3.HOG0019613	rna-XM_031676214.1
N3.HOG0019614	rna-XM_031676205.1
N3.HOG0019615	rna-XM_031676266.1
N3.HOG0019616	rna-XM_031676267.1
N3.HOG0019617	rna-XM_031676270.1
N3.HOG0019618	rna-XM_031676368.1
N3.HOG0019619	rna-XM_015243242.2
N3.HOG0019620	rna-XM_031676390.1
N3.HOG0019621	rna-XM_031676434.1
N3.HOG0019622	rna-XM_031676487.1
N3.HOG0019623	rna-XM_031676521.1
N3.HOG0019624	rna-XM_006219860.3
N3.HOG0019625	rna-XM_031676541.1
N3.HOG0019626	rna-XM_031676543.1
N3.HOG0019627	rna-XM_031676614.1
N3.HOG0019628	rna-XM_015243562.1
N3.HOG0019629	rna-XM_031676584.1
N3.HOG0019630	rna-XM_031676818.1
N3.HOG0019631	rna-XM_031676680.1
N3.HOG0019632	rna-XM_031676687.1
N3.HOG0019633	rna-XM_031676837.1
N3.HOG0019634	rna-XM_031676862.1
N3.HOG0019636	gene-COX2
N3.HOG0019637	gene-ATP6
N3.HOG0019703	rna-XM_031678788.1
N3.HOG0019708	rna-XM_031670516.1
N3.HOG0019709	rna-XM_031671513.1
N3.HOG0019712	rna-XM_006219941.3
N3.HOG0019714	rna-XM_015234357.1
N3.HOG0019715	rna-XM_031672546.1
N3.HOG0019718	rna-XM_031673545.1
