HOG,mi,Di,m0,D0,SYMBOL,GENENAME
N0.HOG0003338,2893,2.0251,1184,39.072,ROBO2,roundabout guidance receptor 2
N0.HOG0003339,1280.5,1.0244,354.5,23.397,CPNE4,copine 4
N0.HOG0003342,352.1,11.76014,151.9,7.79247,NEK11,NIMA related kinase 11
N0.HOG0003343,1117.3,71.28374,484.7,42.1689,ASTE1,asteroid homolog 1
N0.HOG0003344,1726.7,12.0869,664.3,19.46399,ATP2C1,ATPase secretory pathway Ca2+ transporting 1
N0.HOG0003345,2341.1,3.97987,898.9,38.38303,PIK3R4,phosphoinositide-3-kinase regulatory subunit 4
N0.HOG0003346,4232.2,88.02976,1548.8,78.05952,COL6A5,collagen type VI alpha 5 chain
N0.HOG0003347,1371.1,0.95977,599.9,19.55674,CAPN7,calpain 7
N0.HOG0003348,688.7,27.61687,136.3,28.51396,SH3BP5,SH3 domain binding protein 5
N0.HOG0003349,333.8,3.0042,125.2,3.05488,METTL6,methyltransferase like 6
N0.HOG0003350,438.9,2.01894,146.1,8.31309,EAF1,ELL associated factor 1
N0.HOG0003351,656.4,3.15072,273.6,13.35168,COLQ,collagen like tail subunit of asymmetric acetylcholinesterase
N0.HOG0003352,766.3,6.51355,331.7,3.54919,HACL1,2-hydroxyacyl-CoA lyase 1
N0.HOG0003354,1964.7,2.94705,732.3,28.92585,ANKRD28,ankyrin repeat domain 28
N0.HOG0003356,363.3,1.99815,140.7,8.38572,OXNAD1,oxidoreductase NAD binding domain containing 1
N0.HOG0003357,678.5,8.07415,245.5,10.38465,RFTN1,"raftlin, lipid raft linker 1"
N0.HOG0003358,537.9,6.02448,182.1,1.00155,DAZL,deleted in azoospermia like
N0.HOG0003359,1497.9,14.52963,584.1,20.03463,TBC1D5,TBC1 domain family member 5
N0.HOG0003360,1512.9,28.29123,488.1,38.02299,SATB1,SATB homeobox 1
N0.HOG0003361,1590,10.017,600,22.74,KCNH8,potassium voltage-gated channel subfamily H member 8
N0.HOG0003362,920.1,19.59813,357.9,22.61928,EFHB,EF-hand domain family member B
N0.HOG0003364,1259.2,19.26576,492.8,13.3056,PP2D1,protein phosphatase 2C like domain containing 1
N0.HOG0003365,1234.2,0.98736,514.8,20.74644,KAT2B,lysine acetyltransferase 2B
N0.HOG0003366,493.7,3.01157,214.3,7.20048,SGO1,shugoshin 1
N0.HOG0003367,143.9,3.58311,48.1,4.93506,UBE2E2,ubiquitin conjugating enzyme E2 E2
N0.HOG0003369,766.7,5.06022,292.3,6.07984,NR1D2,nuclear receptor subfamily 1 group D member 2
N0.HOG0003370,913.8,13.61562,265.2,20.89776,THRB,thyroid hormone receptor beta
N0.HOG0003371,734.8,1.02872,270.2,6.0795,RARB,retinoic acid receptor beta
N0.HOG0003372,3462.2,2.07732,1151.8,33.86292,TOP2B,DNA topoisomerase II beta
N0.HOG0003373,886.5,9.0423,334.5,8.12835,NGLY1,N-glycanase 1
N0.HOG0003374,161.6,2.02,75.4,4.15454,OXSM,"3-oxoacyl-ACP synthase, mitochondrial"
N0.HOG0003376,790.3,10.11584,346.7,9.22222,ACP3,acid phosphatase 3
N0.HOG0003377,3275.1,6.87771,1305.9,46.35945,DNAJC13,DnaJ heat shock protein family (Hsp40) member C13
N0.HOG0003378,1572.3,17.13807,611.7,24.83502,ACAD11,acyl-CoA dehydrogenase family member 11
N0.HOG0003379,736.7,3.02047,313.3,16.76155,ACKR4,atypical chemokine receptor 4
N0.HOG0003380,643.3,1.47959,229.7,5.58171,UBA5,ubiquitin like modifier activating enzyme 5
N0.HOG0003381,1285.7,7.97134,544.3,19.54037,NPHP3,nephrocystin 3
N0.HOG0003382,1131.3,4.97772,434.7,11.25873,TMEM108,transmembrane protein 108
N0.HOG0003383,2468.8,13.08464,804.2,15.19938,TOPBP1,DNA topoisomerase II binding protein 1
N0.HOG0003384,1322.9,48.02127,489.1,30.71548,TF,transferrin
N0.HOG0003386,1410.9,101.44371,383.1,91.48428,SLCO2A1,solute carrier organic anion transporter family member 2A1
N0.HOG0003388,1737.4,15.11538,473.6,28.46336,AMOTL2,angiomotin like 2
N0.HOG0003389,839.1,3.02076,363.9,9.20667,CEP63,centrosomal protein 63
N0.HOG0003390,697.5,2.99925,151.5,10.4838,KY,kyphoscoliosis peptidase
N0.HOG0003391,1366,2.049,326,20.049,EPHB1,EPH receptor B1
N0.HOG0003392,756.7,22.62533,299.3,24.33309,PPP2R3A,protein phosphatase 2 regulatory subunit B''alpha
N0.HOG0003393,720.8,112.58896,260.2,40.8514,MSL2,MSL complex subunit 2
N0.HOG0003394,847.8,3.98466,355.2,8.1696,PCCB,propionyl-CoA carboxylase subunit beta
N0.HOG0003400,607.5,34.44525,175.5,45.15615,CLDN18,claudin 18
N0.HOG0003401,1348.4,17.12468,442.6,16.42046,DZIP1L,DAZ interacting zinc finger protein 1 like
N0.HOG0003402,752.9,8.05603,264.1,11.40912,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase"
N0.HOG0003403,1080.7,3.99859,449.3,14.3776,DBR1,debranching RNA lariats 1
N0.HOG0003404,983.5,0.9835,462.5,7.07625,ARMC8,armadillo repeat containing 8
N0.HOG0003405,501.5,5.015,185.5,7.17885,NME9,NME/NM23 family member 9
N0.HOG0003407,1950.8,12.09496,578.2,20.64174,ESYT3,extended synaptotagmin 3
N0.HOG0003408,388.6,1.01036,145.4,4.0712,FAIM,Fas apoptotic inhibitory molecule
N0.HOG0003409,2213.2,16.15636,966.8,26.587,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"
N0.HOG0003410,579.9,18.26685,251.1,15.86952,MRPS22,mitochondrial ribosomal protein S22
N0.HOG0003411,1319.2,1.05536,564.8,12.19968,COPB2,COPI coat complex subunit beta 2
N0.HOG0003413,1272,4.0704,342,15.6636,CLSTN2,calsyntenin 2
N0.HOG0003414,1795.4,5.02712,355.6,24.3586,TRIM42,tripartite motif containing 42
N0.HOG0003415,490,10.976,170,5.321,SLC25A36,solute carrier family 25 member 36
N0.HOG0003416,265.7,1.00966,52.3,2.06062,SPSB4,splA/ryanodine receptor domain and SOCS box containing 4
N0.HOG0003417,1067.1,8.00325,369.9,16.57152,PXYLP1,2-phosphoxylose phosphatase 1
N0.HOG0003418,2550,14.025,1011,35.0817,ZBTB38,zinc finger and BTB domain containing 38
N0.HOG0003419,1550.3,15.19294,543.7,22.67229,RASA2,RAS p21 protein activator 2
N0.HOG0003420,146.7,12.20544,45.3,3.7146,RNF7,ring finger protein 7
N0.HOG0003422,295.5,4.5507,106.5,6.84795,TFDP2,transcription factor Dp-2
N0.HOG0003423,744.9,14.37657,275.1,16.58853,GK5,glycerol kinase 5
N0.HOG0003424,2033.9,5.08475,729.1,22.6021,XRN1,5'-3' exoribonuclease 1
N0.HOG0003426,1402.1,0.98147,547.9,8.10892,TRPC1,transient receptor potential cation channel subfamily C member 1
N0.HOG0003427,869.7,8.34912,315.3,4.7295,PCOLCE2,procollagen C-endopeptidase enhancer 2
N0.HOG0003430,887.3,21.82758,228.7,19.6682,CHST2,carbohydrate sulfotransferase 2
N0.HOG0003431,1117.8,24.5916,478.2,29.21802,SLC9A9,solute carrier family 9 member A9
N0.HOG0003433,550.5,4.01865,211.5,6.11235,PLSCR5,phospholipid scramblase family member 5
N0.HOG0003435,877.2,14.29836,367.8,8.97432,CPB1,carboxypeptidase B1
N0.HOG0003436,650.9,15.29615,294.1,9.17592,CPA3,carboxypeptidase A3
N0.HOG0003437,567.5,1.98625,254.5,5.06455,GYG1,glycogenin 1
N0.HOG0003438,2309.1,5.08002,696.9,13.17141,HLTF,helicase like transcription factor
N0.HOG0003439,1552.3,6.05397,724.7,17.3928,HPS3,HPS3 biogenesis of lysosomal organelles complex 2 subunit 1
N0.HOG0003440,1839.2,18.392,713.8,31.97824,CP,ceruloplasmin
N0.HOG0003441,438.4,1.00832,167.6,7.27384,TM4SF1,transmembrane 4 L six family member 1
N0.HOG0003442,459,2.0196,147,3.0429,TM4SF4,transmembrane 4 L six family member 4
N0.HOG0003443,574.9,2.01215,214.1,11.5614,WWTR1,WW domain containing transcription regulator 1
N0.HOG0003445,301.6,3.016,127.4,5.17244,ANKUB1,ankyrin repeat and ubiquitin domain containing 1
N0.HOG0003447,860.8,1.46336,360.2,5.54708,TSC22D2,TSC22 domain family member 2
N0.HOG0003450,880.4,8.09968,337.6,4.01744,ERICH6,glutamate rich 6
N0.HOG0003452,224.7,4.0446,90.3,2.03175,CLRN1,clarin 1
N0.HOG0003453,3080.8,114.29768,1302.2,70.18858,MED12L,mediator complex subunit 12L
N0.HOG0003454,677.6,6.03064,270.4,11.43792,GPR171,G protein-coupled receptor 171
N0.HOG0003455,747,3.5109,264,19.8792,P2RY14,purinergic receptor P2Y14
N0.HOG0003456,740.1,3.99654,306.9,5.06385,GPR87,G protein-coupled receptor 87
N0.HOG0003457,656.4,5.05428,297.6,8.184,P2RY12,purinergic receptor P2Y12
N0.HOG0003458,5324.7,64.96134,2244.3,76.75506,IGSF10,immunoglobulin superfamily member 10
N0.HOG0003459,433.4,1.99364,157.6,6.16216,AADAC,arylacetamide deacetylase
N0.HOG0003461,819.6,22.04724,278.4,19.29312,P2RY1,purinergic receptor P2Y1
N0.HOG0003463,1207.6,9.057,481.4,14.29758,GPR149,G protein-coupled receptor 149
N0.HOG0003464,1639.1,2.95038,610.9,21.68695,MME,membrane metalloendopeptidase
N0.HOG0003465,2028.4,12.98176,791.6,26.99356,PLCH1,phospholipase C eta 1
N0.HOG0003466,478.7,3.01581,163.3,1.01246,C3orf33,chromosome 3 open reading frame 33
N0.HOG0003467,247.4,14.20076,79.6,11.43056,SLC33A1,solute carrier family 33 member 1
N0.HOG0003468,1508,22.3184,541,13.1463,GMPS,guanine monophosphate synthase
N0.HOG0003469,739.2,6.50496,265.8,9.75486,KCNAB1,potassium voltage-gated channel subfamily A member regulatory beta subunit 1
N0.HOG0003470,323,1.0013,133,6.2244,SSR3,signal sequence receptor subunit 3
N0.HOG0003471,1380.9,4.00461,584.1,11.15631,TIPARP,TCDD inducible poly(ADP-ribose) polymerase
N0.HOG0003472,724.5,13.1859,319.5,6.10245,LEKR1,"leucine, glutamate and lysine rich 1"
N0.HOG0003474,1564.2,13.13928,706.8,16.32708,VEPH1,ventricular zone expressed PH domain containing 1
N0.HOG0003475,542.7,2.98485,204.3,5.08707,SHOX2,short stature homeobox 2
N0.HOG0003476,470.3,3.00992,162.7,8.2977,MLF1,myeloid leukemia factor 1
N0.HOG0003477,1476.2,2.06668,548.8,13.28096,GFM1,G elongation factor mitochondrial 1
N0.HOG0003478,426.9,3.54327,170.1,7.73955,LXN,latexin
N0.HOG0003480,751.8,3.0072,325.2,6.08124,MFSD1,major facilitator superfamily domain containing 1
N0.HOG0003481,232.1,2.01927,88.9,4.12496,IL12A,interleukin 12A
N0.HOG0003482,1754,8.0684,577,14.3096,IFT80,intraflagellar transport 80
N0.HOG0003483,2729.5,27.56795,753.5,26.5232,SMC4,structural maintenance of chromosomes 4
N0.HOG0003484,902.2,2.97726,303.8,4.04054,TRIM59,tripartite motif containing 59
N0.HOG0003486,404.3,3.03225,162.7,6.15006,ARL14,ADP ribosylation factor like GTPase 14
N0.HOG0003488,688.7,1.99723,301.3,9.18965,B3GALNT1,"beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"
N0.HOG0003489,820.5,1.9692,310.5,10.2465,NMD3,NMD3 ribosome export adaptor
N0.HOG0003490,896,15.232,415,17.5545,OTOL1,otolin 1
N0.HOG0003491,4177.2,19.63284,1243.8,40.67226,SI,sucrase-isomaltase
N0.HOG0003492,2040.6,7.95834,884.4,17.2458,SLITRK3,SLIT and NTRK like family member 3
N0.HOG0003493,1205,9.0375,439,15.4967,BCHE,butyrylcholinesterase
N0.HOG0003494,887.3,12.15601,303.7,9.26285,ZBBX,zinc finger B-box domain containing
N0.HOG0003495,874.9,4.98693,337.1,10.28155,SERPINI2,serpin family I member 2
N0.HOG0003496,1766.4,23.66976,708.6,22.10832,WDR49,WD repeat domain 49
N0.HOG0003498,875,2.975,355,12.354,SERPINI1,serpin family I member 1
N0.HOG0003499,1190.3,45.82655,510.7,30.79521,GOLIM4,golgi integral membrane protein 4
N0.HOG0003500,1628.5,7.97965,666.5,20.59485,MECOM,MDS1 and EVI1 complex locus
N0.HOG0003501,754.8,6.0384,289.2,11.33664,ACTRT3,actin related protein T3
N0.HOG0003502,1018,2.036,383,6.0897,MYNN,myoneurin
N0.HOG0003503,360.9,2.02104,101.1,3.06333,LRRC34,leucine rich repeat containing 34
N0.HOG0003504,594.1,3.02991,218.9,5.07848,SEC62,"SEC62 homolog, preprotein translocation factor"
N0.HOG0003505,1753.9,31.92098,727.1,28.28419,PHC3,polyhomeotic homolog 3
N0.HOG0003506,646.2,11.56698,211.8,5.69742,PRKCI,protein kinase C iota
N0.HOG0003507,1245.5,2.9892,509.5,12.17705,SKIL,SKI like proto-oncogene
N0.HOG0003509,1717.9,6.01265,595.1,19.57879,SLC7A14,solute carrier family 7 member 14
N0.HOG0003511,744.8,2.01096,308.2,3.02036,SLC2A2,solute carrier family 2 member 2
N0.HOG0003512,1766.5,2.64975,675.5,24.0478,TNIK,TRAF2 and NCK interacting kinase
N0.HOG0003513,1987,6.9545,746,21.5594,PLD1,phospholipase D1
N0.HOG0003514,2419.1,5.08011,955.9,27.7211,FNDC3B,fibronectin type III domain containing 3B
N0.HOG0003515,864.8,3.0268,197.2,10.47132,GHSR,growth hormone secretagogue receptor
N0.HOG0003516,366.4,2.0152,152.6,8.40826,NCEH1,neutral cholesterol ester hydrolase 1
N0.HOG0003517,1997.3,15.17948,591.7,18.28353,ECT2,epithelial cell transforming 2
N0.HOG0003518,925.7,8.05359,349.3,11.31732,SPATA16,spermatogenesis associated 16
N0.HOG0003519,1560.5,15.2929,377.5,28.4635,ITGB5,integrin subunit beta 5
N0.HOG0003520,637.5,5.03625,268.5,5.07465,UMPS,uridine monophosphate synthetase
N0.HOG0003521,2708.7,28.17048,867.3,36.4266,MYLK,myosin light chain kinase
N0.HOG0003523,1986.3,27.21231,404.7,51.76113,ADCY5,adenylate cyclase 5
N0.HOG0003524,674,1.011,247,2.0007,SEC22A,"SEC22 homolog A, vesicle trafficking protein"
N0.HOG0003525,932.4,5.03496,336.6,7.10226,PDIA5,protein disulfide isomerase family A member 5
N0.HOG0003526,2526.4,8.08448,623.6,32.48956,SEMA5B,semaphorin 5B
N0.HOG0003528,349.6,3.00656,121.4,1.00762,HSPBAP1,HSPB1 associated protein 1
N0.HOG0003529,1534.2,18.10356,577.8,17.39178,DTX3L,deltex E3 ubiquitin ligase 3L
N0.HOG0003530,1599.5,70.53795,620.5,33.81725,PARP9,poly(ADP-ribose) polymerase family member 9
N0.HOG0003531,1174,1.0566,440,6.072,KPNA1,karyopherin subunit alpha 1
N0.HOG0003532,753.9,3.0156,230.1,5.08521,WDR5B,WD repeat domain 5B
N0.HOG0003533,295.2,1.00368,106.8,2.0292,CCDC58,coiled-coil domain containing 58
N0.HOG0003535,2491.2,5.97888,649.8,10.13688,CASR,calcium sensing receptor
N0.HOG0003536,575.5,2.9926,195.5,6.15825,ILDR1,immunoglobulin like domain containing receptor 1
N0.HOG0003537,895.1,0.98461,412.9,5.03738,SLC15A2,solute carrier family 15 member 2
N0.HOG0003539,982,4.5172,398,5.5322,IQCB1,IQ motif containing B1
N0.HOG0003540,6220.7,64.69528,3199.3,61.10663,GOLGB1,golgin B1
N0.HOG0003541,341.2,3.54848,117.8,2.54448,HCLS1,hematopoietic cell-specific Lyn substrate 1
N0.HOG0003542,1432.9,14.04242,532.1,16.44189,FBXO40,F-box protein 40
N0.HOG0003543,4241.3,53.44038,1485.7,39.96533,POLQ,DNA polymerase theta
N0.HOG0003544,1017.4,1.0174,326.6,16.75458,STXBP5L,syntaxin binding protein 5 like
N0.HOG0003547,605,1.0285,202,6.1206,FSTL1,follistatin like 1
N0.HOG0003548,561.7,54.09171,266.3,36.45647,LRRC58,leucine rich repeat containing 58
N0.HOG0003549,696.6,5.01552,302.4,6.10848,GPR156,G protein-coupled receptor 156
N0.HOG0003551,483.2,2.02944,113.8,4.11956,NR1I2,nuclear receptor subfamily 1 group I member 2
N0.HOG0003552,1334.4,22.81824,525.6,20.07792,CFAP91,cilia and flagella associated protein 91
N0.HOG0003553,146.2,1.00878,42.8,2.07152,COX17,cytochrome c oxidase copper chaperone COX17
N0.HOG0003554,667.8,9.81666,190.2,9.64314,POPDC2,popeye domain containing 2
N0.HOG0003555,501,7.0641,189,6.1425,PLA1A,phospholipase A1 member A
N0.HOG0003556,748.7,2.9948,295.3,9.18383,NA,NA
N0.HOG0003557,259.7,1.01283,100.3,2.02606,TIMMDC1,translocase of inner mitochondrial membrane domain containing 1
N0.HOG0003558,379.4,0.98644,145.6,1.00464,POGLUT1,protein O-glucosyltransferase 1
N0.HOG0003560,2248.2,26.52876,835.8,22.23228,ARHGAP31,Rho GTPase activating protein 31
N0.HOG0003561,563.9,1.01502,213.1,9.26985,UPK1B,uroplakin 1B
N0.HOG0003562,756.9,4.99554,263.1,18.07497,IGSF11,immunoglobulin superfamily member 11
N0.HOG0003563,666.9,1.00035,239.1,1.00422,LSAMP,limbic system associated membrane protein
N0.HOG0003564,427.8,2.01066,232.2,2.02014,GAP43,growth associated protein 43
