ARHGEF4	N3.HOG0005733
KRT2	N3.HOG0007890
KRT1	N3.HOG0007889
AMHR2	N3.HOG0007871
HOXC9	N3.HOG0007860
DHH	N3.HOG0007941
ADRA1A	N3.HOG0012717
HR	N3.HOG0012689
LOC102531205	N3.HOG0017526
LOC102531205	N3.HOG0017526
SPATA17	N3.HOG0011524
CDH5	N3.HOG0006813
CES2	N3.HOG0001227
THNSL2	N3.HOG0012478
EIF2AK3	N3.HOG0012476
SEMA4C	N3.HOG0012440
AFF3	N3.HOG0012425
RNF20	N3.HOG0005103
PAX5	N3.HOG0005060
NPR2	N3.HOG0005048
FAM205C	N3.HOG0015934
SHISA9	N3.HOG0010029
NPRL3	N3.HOG0010003
LMF1	N3.HOG0009974
PTX4	N3.HOG0016498
TMEM204	N3.HOG0009968
GLIS2	N3.HOG0002852
NMRAL1	N3.HOG0002850
CSF1R	N3.HOG0004576
ARAP3	N3.HOG0004614
PRKDC	N3.HOG0012512
C32H12orf49	N3.HOG0012818
CIT	N3.HOG0012835
CIR1	N3.HOG0005581
ETS2	N3.HOG0003693
LOC102540637	N3.HOG0003705
ORC2	N3.HOG0005467
CPS1	N3.HOG0005511
CASP10	N3.HOG0017488
EAF1	N3.HOG0003765
OXSM	N3.HOG0003789
INSL5	N3.HOG0017586
DOLPP1	N3.HOG0005250
FOXO3	N3.HOG0002434
RXYLT1	N3.HOG0007998
STAB2	N3.HOG0002610
DRAM1	N3.HOG0008060
C12H12orf56	N3.HOG0008002
SPATA1	N3.HOG0006174
GPATCH2L	N3.HOG0005994
FARSA	N3.HOG0011223
DNASE2	N3.HOG0011225
CERS4	N3.HOG0011294
RFX2	N3.HOG0011328
KANK2	N3.HOG0011271
CD70	N3.HOG0018571
ADAT3	N3.HOG0014511
MINPP1	N3.HOG0007648
LOC102531787	N3.HOG0010275
MBL2	N3.HOG0007653
BRPF1	N3.HOG0009615
FAM83F	N3.HOG0013605
CDH13	N3.HOG0006933
KCNG4	N3.HOG0006942
DNAAF1	N3.HOG0006939
APOC3	N3.HOG0018617
ANKK1	N3.HOG0016989
DAW1	N3.HOG0015974
COL4A4	N3.HOG0005371
NFKBIZ	N3.HOG0013767
DCBLD2	N3.HOG0013786
CC2D2A	N3.HOG0015828
MED28	N3.HOG0004191
KIAA2026	N3.HOG0004936
TC2N	N3.HOG0002372
LOC102525699	N3.HOG0001402
SERPINA12	N3.HOG0017494
CATSPERB	N3.HOG0006039
FREM1	N3.HOG0004945
FARP1	N3.HOG0008729
POLD1	N3.HOG0007446
HIF3A	N3.HOG0007354
SYMPK	N3.HOG0007350
GIPR	N3.HOG0007342
POU2F2	N3.HOG0007300
CLDND2	N3.HOG0016199
KLK9	N3.HOG0016198
SYT3	N3.HOG0007453
FKRP	N3.HOG0007362
FBXO22	N3.HOG0012274
TMED3	N3.HOG0012294
GSX1	N3.HOG0008861
LNX2	N3.HOG0008862
TADA1	N3.HOG0010724
SPATA46	N3.HOG0010706
CCNK	N3.HOG0006064
CCDC190	N3.HOG0010711
CCDC190	N3.HOG0010711
NEU4	N3.HOG0003574
HSD17B3	N3.HOG0015614
FANCC	N3.HOG0015617
FAM216B	N3.HOG0018507
LRCH1	N3.HOG0008795
SFSWAP	N3.HOG0012922
GTF2H3	N3.HOG0012909
RILPL2	N3.HOG0012904
SBNO1	N3.HOG0012902
CCDC92	N3.HOG0003241
PIF1	N3.HOG0006121
SPG21	N3.HOG0006123
SLC24A1	N3.HOG0006136
ZNF512B	N3.HOG0010220
TNFRSF6B	N3.HOG0018529
TNFRSF6B	N3.HOG0018529
SLCO4A1	N3.HOG0010245
DLEU7	N3.HOG0008812
ITGA4	N3.HOG0005549
MYCBP2	N3.HOG0008749
ARHGAP31	N3.HOG0003975
LZTS2	N3.HOG0007787
SF3B2	N3.HOG0011919
RIN1	N3.HOG0011927
CCS	N3.HOG0011940
LRFN4	N3.HOG0011944
CORO1B	N3.HOG0011959
PITPNM1	N3.HOG0011963
WASHC1	N3.HOG0013269
CRACR2A	N3.HOG0013258
ENO2	N3.HOG0013217
CGNL1	N3.HOG0013937
SCYL3	N3.HOG0010746
LOC102532128	N3.HOG0016636
GRINA	N3.HOG0011680
MROH6	N3.HOG0003074
MFSD3	N3.HOG0011695
CNPY1	N3.HOG0017201
LOC102527323	N3.HOG0003461
SLC4A2	N3.HOG0014435
SNTB1	N3.HOG0012083
LRRK1	N3.HOG0012382
LYSMD4	N3.HOG0016894
NR2F2	N3.HOG0012371
ETS1	N3.HOG0013003
TWISTNB	N3.HOG0017232
AGR3	N3.HOG0014732
LRRC72	N3.HOG0014737
TDRD5	N3.HOG0010785
EYS	N3.HOG0017998
TLCD1	N3.HOG0009179
ODF1	N3.HOG0012039
JPH3	N3.HOG0010826
LOC102526131	N3.HOG0017722
ADAMTS3	N3.HOG0004351
MACF1	N3.HOG0008537
ZC3H12A	N3.HOG0008520
GRIK3	N3.HOG0008519
DLGAP3	N3.HOG0008494
PRF1	N3.HOG0016223
PBLD	N3.HOG0002565
TSHZ1	N3.HOG0013819
LHX1	N3.HOG0002730
DDX52	N3.HOG0002736
FKTN	N3.HOG0005109
USP11	N3.HOG0013837
PRICKLE3	N3.HOG0013865
KIAA1671	N3.HOG0012786
TDO2	N3.HOG0002211
RSF1	N3.HOG0007175
DLL1	N3.HOG0003441
SLC5A10	N3.HOG0009462
MFAP4	N3.HOG0009459
PIGL	N3.HOG0009448
MINAR2	N3.HOG0014188
ATG2B	N3.HOG0006058
DICER1	N3.HOG0006052
USP53	N3.HOG0004455
AURKA	N3.HOG0002929
HOXB9	N3.HOG0016454
ERBB2	N3.HOG0009514
IBTK	N3.HOG0002444
IRAK1BP1	N3.HOG0006571
NUFIP2	N3.HOG0009188
PRSS54	N3.HOG0006806
ADGRG3	N3.HOG0006797
TOPBP1	N3.HOG0003798
NES	N3.HOG0010976
GPATCH4	N3.HOG0010973
PAQR6	N3.HOG0010964
SLC50A1	N3.HOG0010942
DCST2	N3.HOG0010936
DCST2	N3.HOG0010936
TUT1	N3.HOG0011818
FAM111B	N3.HOG0016831
NFKBIB	N3.HOG0002530
SH2D4A	N3.HOG0003166
ZBED9	N3.HOG0002953
APOM	N3.HOG0001138
EHMT2	N3.HOG0001146
STK19	N3.HOG0001304
RNF5	N3.HOG0001150
LOC102529714	N3.HOG0012397
SRGAP2	N3.HOG0011398
ANKH	N3.HOG0004888
LOC102538027	N3.HOG0017732
KCNJ10	N3.HOG0011007
MPZ	N3.HOG0011035
SLC49A4	N3.HOG0003942
SDHAF4	N3.HOG0017999
KLF6	N3.HOG0013297
PLCL1	N3.HOG0005456
MRAP	N3.HOG0003721
OLIG1	N3.HOG0003715
COL12A1	N3.HOG0006580
SPAG17	N3.HOG0006728
LOC102542766	N3.HOG0014912
SBK3	N3.HOG0016212
KMT5C	N3.HOG0007476
CFAP43	N3.HOG0007741
WFS1	N3.HOG0004162
LRP12	N3.HOG0012051
LOX	N3.HOG0014211
PLCB3	N3.HOG0011855
PLCB3	N3.HOG0011855
SF1	N3.HOG0011865
PPP2R5B	N3.HOG0011870
POLA2	N3.HOG0011886
FRMD8	N3.HOG0011891
CCDC88B	N3.HOG0011860
VPS51	N3.HOG0011880
PRPF3	N3.HOG0010861
RPRD2	N3.HOG0010862
RBM42	N3.HOG0013698
LOC102534316	N3.HOG0018307
LOC102534316	N3.HOG0018307
NPHS1	N3.HOG0013688
DOCK8	N3.HOG0004994
LRP10	N3.HOG0005740
CEBPE	N3.HOG0005749
EFS	N3.HOG0005755
KHNYN	N3.HOG0005766
MPP3	N3.HOG0009255
CUNH9orf116	N3.HOG0017371
NUDT6	N3.HOG0004470
NTN1	N3.HOG0013542
TAFA3	N3.HOG0017511
BCO2	N3.HOG0015189
BCO2	N3.HOG0015189
AVIL	N3.HOG0015303
PATZ1	N3.HOG0012937
CRNKL1	N3.HOG0014777
CAMSAP1	N3.HOG0005295
LHX3	N3.HOG0005299
TYR	N3.HOG0007203
EME1	N3.HOG0015511
ATP2B3	N3.HOG0013459
ESYT1	N3.HOG0008177
COL1A1	N3.HOG0014866
ZNF132	N3.HOG0001763
SUPT16H	N3.HOG0014121
RNF187	N3.HOG0003375
EFNB3	N3.HOG0015480
CHRNB1	N3.HOG0003598
SPEM2	N3.HOG0015468
SYNPO2L	N3.HOG0007558
ARVCF	N3.HOG0012974
RTL10	N3.HOG0018270
RTL10	N3.HOG0018270
WBP1	N3.HOG0009062
ZCWPW1	N3.HOG0015718
PIDD1	N3.HOG0015053
LENG1	N3.HOG0000833
TMC4	N3.HOG0000834
PKP3	N3.HOG0015058
LOC102538495	N3.HOG0013871
ANXA2	N3.HOG0013923
UCN3	N3.HOG0013296
AQP10	N3.HOG0016669
NLGN2	N3.HOG0015467
ACTL9	N3.HOG0011286
C3	N3.HOG0011318
FOXH1	N3.HOG0011692
SCLY	N3.HOG0005323
PGM1	N3.HOG0008696
NKX3-1	N3.HOG0012705
TBX21	N3.HOG0009533
LOC102531931	N3.HOG0007897
KRT19	N3.HOG0009479
TPD52L3	N3.HOG0015923
RNF208	N3.HOG0004979
ZNF652	N3.HOG0009559
ZNF792	N3.HOG0017093
RB1	N3.HOG0008801
ZNF239	N3.HOG0013879
ZNF488	N3.HOG0007594
KLHL21	N3.HOG0008256
SMG5	N3.HOG0010965
LIAS	N3.HOG0004226
SIRT1	N3.HOG0007500
TMEM211	N3.HOG0016946
PRDM8	N3.HOG0004318
WBP2	N3.HOG0009395
RBM12B	N3.HOG0003135
PPP1R9B	N3.HOG0014864
PROB1	N3.HOG0004643
COL26A1	N3.HOG0016519
GPR20	N3.HOG0003070
GPR26	N3.HOG0014570
CPN2	N3.HOG0004076
DTX4	N3.HOG0011778
IGSF9B	N3.HOG0012987
FAM181B	N3.HOG0007183
GJA5	N3.HOG0010837
STK32C	N3.HOG0014545
POM121L2	N3.HOG0010533
MESP2	N3.HOG0012342
FAM171A2	N3.HOG0009242
NR1H4	N3.HOG0008068
LYPD2	N3.HOG0011672
CRISP2	N3.HOG0002967
KRTCAP2	N3.HOG0010943
S1PR5	N3.HOG0016739
GPR152	N3.HOG0011960
NELFB	N3.HOG0004981
ASCL1	N3.HOG0008053
LOC102538753	N3.HOG0001046
CFAP53	N3.HOG0016930
PRMT3	N3.HOG0007005
MRPS35	N3.HOG0013128
PURG	N3.HOG0012162
ZBED1	N3.HOG0013386
ABRAXAS1	N3.HOG0015850
ZNHIT2	N3.HOG0011882
EEF1A2	N3.HOG0002922
MARS2	N3.HOG0005454
C17H3orf35	N3.HOG0017654
C17H3orf35	N3.HOG0017654
SLC19A2	N3.HOG0010741
GP1BA	N3.HOG0014963
PDE4C	N3.HOG0016706
CPXM2	N3.HOG0014569
PRR30	N3.HOG0017619
HDGFL1	N3.HOG0010512
HDGFL1	N3.HOG0010512
HNRNPR	N3.HOG0002641
RTL5	N3.HOG0014321
LRRC8D	N3.HOG0006690
ZSCAN32	N3.HOG0018177
ZSCAN32	N3.HOG0018177
METAP1D	N3.HOG0005590
POLDIP2	N3.HOG0009163
NMNAT2	N3.HOG0010806
NACC2	N3.HOG0005297
LOC102543049	N3.HOG0000442
MTIF3	N3.HOG0016372
MOS	N3.HOG0018603
EME2	N3.HOG0009961
TRAM1L1	N3.HOG0015876
TRAM1L1	N3.HOG0015876
STARD7	N3.HOG0012453
CSGALNACT1	N3.HOG0003165
PAN3	N3.HOG0008858
KCNA4	N3.HOG0006989
SLC52A2	N3.HOG0001967
KCNA5	N3.HOG0013247
CD74	N3.HOG0004570
PNLDC1	N3.HOG0006322
GCNT1	N3.HOG0005019
LOC102525403	N3.HOG0002616
LOC102531941	N3.HOG0001056
AKAP13	N3.HOG0012365
FIGNL2	N3.HOG0014368
TMEM121	N3.HOG0014347
LOC102543629	N3.HOG0014428
KMT2E	N3.HOG0006259
CARMIL1	N3.HOG0010522
OPN3	N3.HOG0018574
OPN3	N3.HOG0018574
KLF2	N3.HOG0003020
TBC1D9B	N3.HOG0003006
DCXR	N3.HOG0015365
KAT2A	N3.HOG0009289
TMEM94	N3.HOG0009388
UBE2O	N3.HOG0009407
AHI1	N3.HOG0006403
MAP7	N3.HOG0006399
TMEM125	N3.HOG0016335
RAD54L	N3.HOG0008609
TTC39A	N3.HOG0008633
PODN	N3.HOG0008651
DLEC1	N3.HOG0009865
CCK	N3.HOG0009844
LOC102542287	N3.HOG0001191
LOC102542287	N3.HOG0001191
MAGEF1	N3.HOG0015811
MAGEF1	N3.HOG0015811
ABCB11	N3.HOG0002313
ADAM9	N3.HOG0003159
PRICKLE2	N3.HOG0009656
USP31	N3.HOG0010186
NAT16	N3.HOG0018180
NAT16	N3.HOG0018180
SH2B1	N3.HOG0010157
HIRIP3	N3.HOG0016530
SLC5A2	N3.HOG0010096
EDEM1	N3.HOG0009627
PLA2G4E	N3.HOG0014036
SERINC4	N3.HOG0014004
HOXA3	N3.HOG0014703
ESPN	N3.HOG0008251
LOC102532423	N3.HOG0001463
AMER3	N3.HOG0005734
AMER3	N3.HOG0005734
FOXP4	N3.HOG0010601
LOC102537458	N3.HOG0018202
MSC	N3.HOG0012574
FCN3	N3.HOG0017601
FCN3	N3.HOG0017601
BPIFB3	N3.HOG0010425
LOC102531411	N3.HOG0017603
ZNF335	N3.HOG0010314
CHD6	N3.HOG0010356
LOC102529118	N3.HOG0000505
TRIB3	N3.HOG0010452
YAF2	N3.HOG0007987
CHRNA2	N3.HOG0012721
LOC102541458	N3.HOG0000558
LOC102545026	N3.HOG0007112
LOC102527300	N3.HOG0002493
LOC102530964	N3.HOG0018113
LOC102529655	N3.HOG0002489
LOC102534656	N3.HOG0007096
LOC102541612	N3.HOG0017520
MYO7B	N3.HOG0005723
LOC102544226	N3.HOG0001606
LOC102544316	N3.HOG0002498
LOC102544316	N3.HOG0002498
LOC102545119	N3.HOG0001852
LOC102530705	N3.HOG0016135
LOC102534159	N3.HOG0016134
LOC102542453	N3.HOG0001412
CHD5	N3.HOG0008244
LOC102541805	N3.HOG0001607
UBE4B	N3.HOG0008276
LRRC29	N3.HOG0001835
LOC102534089	N3.HOG0000323
LOC102542119	N3.HOG0000756
LOC102542119	N3.HOG0000756
LOC102540630	N3.HOG0000754
LOC102537298	N3.HOG0000975
TLE1	N3.HOG0005028
LOC102537301	N3.HOG0016495
CLEC16A	N3.HOG0010019
CLEC16A	N3.HOG0010019
METTL26	N3.HOG0009989
TSC2	N3.HOG0009946
MYOZ3	N3.HOG0015894
DIAPH1	N3.HOG0004618
TMEM119	N3.HOG0016947
KDM2B	N3.HOG0012879
RRP1	N3.HOG0003670
WDR4	N3.HOG0003676
LOC102534600	N3.HOG0005178
LOC102539493	N3.HOG0000371
ODF2	N3.HOG0005236
MFSD4B	N3.HOG0016071
COL10A1	N3.HOG0006471
C30H18orf54	N3.HOG0016929
MAP3K1	N3.HOG0004799
RRBP1	N3.HOG0014763
IQCC	N3.HOG0008463
KIAA1522	N3.HOG0008475
LOC102536739	N3.HOG0000008
RAVER1	N3.HOG0016738
RAVER1	N3.HOG0016738
SF3A2	N3.HOG0014519
KCNF1	N3.HOG0008918
LOC102541320	N3.HOG0017638
PAPLN	N3.HOG0005955
ZFYVE26	N3.HOG0005928
LOC102531463	N3.HOG0018651
CHADL	N3.HOG0013617
ASIC4	N3.HOG0005391
TNS1	N3.HOG0005430
LPIN1	N3.HOG0008923
TMEM74B	N3.HOG0014975
CASD1	N3.HOG0006206
TMBIM7P	N3.HOG0018098
C6	N3.HOG0004840
CARD6	N3.HOG0004843
CARD6	N3.HOG0004843
LOC102537650	N3.HOG0000206
LOC102543139	N3.HOG0000140
LOC107033887	N3.HOG0000208
FNDC4	N3.HOG0008989
WDR43	N3.HOG0008999
SPPL2A	N3.HOG0013966
LOC102538765	N3.HOG0016201
TEAD2	N3.HOG0007418
PPFIA3	N3.HOG0007414
ZNF326	N3.HOG0006689
ARHGEF1	N3.HOG0007305
LOC102543913	N3.HOG0018108
LOC102537233	N3.HOG0000299
LOC102537486	N3.HOG0000302
LOC102537486	N3.HOG0000302
PRMT1	N3.HOG0007430
PRMT1	N3.HOG0007430
CSPG4	N3.HOG0012262
TSPAN3	N3.HOG0012267
BEGAIN	N3.HOG0006075
LOC102529864	N3.HOG0018134
PER2	N3.HOG0005320
WNK2	N3.HOG0015604
KCNC1	N3.HOG0007021
PRUNE2	N3.HOG0005020
PTAR1	N3.HOG0005002
TCTN2	N3.HOG0012910
BIRC7	N3.HOG0016543
COL9A3	N3.HOG0010241
THSD7B	N3.HOG0005679
LOC102535262	N3.HOG0013034
LOC102535515	N3.HOG0003257
ZNF827	N3.HOG0004509
LOC102534922	N3.HOG0005529
TAS2R5	N3.HOG0018687
TAS2R39	N3.HOG0017247
TAS2R60	N3.HOG0017958
LOC102531891	N3.HOG0000635
LOC102530384	N3.HOG0018350
TAS2R40	N3.HOG0017248
TAS2R40	N3.HOG0017248
TCAF1	N3.HOG0003510
LLCFC1	N3.HOG0018689
FOXO1	N3.HOG0008827
LOC102533514	N3.HOG0016362
MLNR	N3.HOG0016360
GRID2IP	N3.HOG0015683
CUNH7orf50	N3.HOG0015744
SFRP5	N3.HOG0007818
SEMA4G	N3.HOG0007790
LOC102534924	N3.HOG0007800
KMT5B	N3.HOG0011972
LOC102541494	N3.HOG0000279
LOC102541494	N3.HOG0000279
NME7	N3.HOG0016634
FMO2	N3.HOG0010754
EEF1D	N3.HOG0003076
PARP10	N3.HOG0011679
GPIHBP1	N3.HOG0018575
RBM43	N3.HOG0018091
PKHD1L1	N3.HOG0003141
NCAPD3	N3.HOG0012985
KIAA1614	N3.HOG0010794
TRIM52	N3.HOG0004689
TRIM52	N3.HOG0004689
LOC102525963	N3.HOG0016817
FNBP4	N3.HOG0003104
LOC102538777	N3.HOG0002984
ANKRD11	N3.HOG0013662
BCL9	N3.HOG0010835
LOC102542019	N3.HOG0006318
LUZP6	N3.HOG0018686
AKAP12	N3.HOG0006353
LOC102537335	N3.HOG0000755
REPS1	N3.HOG0006387
CRYBB3	N3.HOG0012785
PML	N3.HOG0012242
LOC102545243	N3.HOG0000216
LOC107034524	N3.HOG0000215
LOC102530403	N3.HOG0001327
LOC107032828	N3.HOG0000185
LOC102541508	N3.HOG0011752
LOC102541508	N3.HOG0011752
CASC3	N3.HOG0009501
SCARF1	N3.HOG0002754
SHE	N3.HOG0010925
LOC102542169	N3.HOG0005127
SVEP1	N3.HOG0005125
PTGDR2	N3.HOG0011791
MS4A15	N3.HOG0011789
EML3	N3.HOG0011820
LBHD1	N3.HOG0018244
LOC102534384	N3.HOG0018245
LOC102526486	N3.HOG0016160
CCDC110	N3.HOG0012129
CYYR1	N3.HOG0003738
LOC102540532	N3.HOG0001120
RNF39	N3.HOG0001016
RNF39	N3.HOG0001016
NCR3	N3.HOG0018555
LOC102536780	N3.HOG0000111
LOC102540282	N3.HOG0000916
LTB	N3.HOG0017699
ALG13	N3.HOG0002098
FCAMR	N3.HOG0016778
ELF1	N3.HOG0008772
ZNF654	N3.HOG0013801
LOC102536307	N3.HOG0018566
SLAMF7	N3.HOG0017736
CENPU	N3.HOG0012121
CRP	N3.HOG0001313
IGSF9	N3.HOG0011004
SH3RF1	N3.HOG0012745
NEK1	N3.HOG0012744
TMEM269	N3.HOG0016332
HHLA2	N3.HOG0017897
MAP3K8	N3.HOG0013328
RFTN2	N3.HOG0005453
ZFAND4	N3.HOG0007610
SAP18	N3.HOG0002698
ZNF784	N3.HOG0007487
SHISA7	N3.HOG0007480
SSC5D	N3.HOG0007483
LOC102536707	N3.HOG0017562
ST8SIA5	N3.HOG0012624
BASP1	N3.HOG0004884
CEP120	N3.HOG0014205
COBL	N3.HOG0013346
PRRC2B	N3.HOG0005275
RAPGEF1	N3.HOG0005278
NOL6	N3.HOG0015646
PLD4	N3.HOG0006104
MTMR11	N3.HOG0010853
LOC102537358	N3.HOG0010850
LOC107034825	N3.HOG0017090
ZNF608	N3.HOG0014203
CRACD	N3.HOG0004280
FAM13A	N3.HOG0004284
KIF1C	N3.HOG0014958
SCIMP	N3.HOG0017973
TMEM155	N3.HOG0018062
HNRNPD	N3.HOG0004312
SLC9B1	N3.HOG0015872
INPP5J	N3.HOG0012942
LOC102545016	N3.HOG0000625
LOC102545535	N3.HOG0017140
LOC102545794	N3.HOG0017914
LOC102524768	N3.HOG0014100
LOC102526517	N3.HOG0003416
LOC102536477	N3.HOG0002060
LOC102536233	N3.HOG0002059
LOC102538728	N3.HOG0000328
LRRN3	N3.HOG0014653
RWDD2A	N3.HOG0006561
ARHGEF40	N3.HOG0014117
IL18RAP	N3.HOG0012411
NEURL4	N3.HOG0003589
LOC102544754	N3.HOG0018012
CD44	N3.HOG0006961
LOC102531930	N3.HOG0000940
TRIP6	N3.HOG0015734
LRRC56	N3.HOG0003532
LOC102531857	N3.HOG0018511
TAF15	N3.HOG0002740
LOC102530787	N3.HOG0015269
LOC102528869	N3.HOG0001174
HEYL	N3.HOG0008539
LOC102544227	N3.HOG0018290
LOC102532176	N3.HOG0017399
LOC102531694	N3.HOG0018024
LOC102533652	N3.HOG0001771
ITIH6	N3.HOG0013358
ITIH6	N3.HOG0013358
LOC102527651	N3.HOG0015737
LOC102537212	N3.HOG0000873
ADAMTSL3	N3.HOG0003177
KSR2	N3.HOG0012824
DCHS2	N3.HOG0001567
SETD1B	N3.HOG0012882
PITPNM2	N3.HOG0012896
MLXIP	N3.HOG0003236
NCOR2	N3.HOG0012912
SLC15A4	N3.HOG0012916
MMP17	N3.HOG0012923
EP400	N3.HOG0012926
MED15	N3.HOG0012960
ESS2	N3.HOG0012966
MRPL40	N3.HOG0017838
SCARF2	N3.HOG0012962
ARHGAP32	N3.HOG0012999
DCPS	N3.HOG0013006
DSCAML1	N3.HOG0013084
SLC37A2	N3.HOG0013022
MFRP	N3.HOG0013052
HYOU1	N3.HOG0003263
LAG3	N3.HOG0013226
VWF	N3.HOG0013244
CACNA1C	N3.HOG0003294
ATF7IP	N3.HOG0013175
PHC1	N3.HOG0013198
TCOF1	N3.HOG0004571
TCOF1	N3.HOG0004571
LOC102526797	N3.HOG0000972
ARSL	N3.HOG0017033
MXRA5	N3.HOG0013387
SRPK3	N3.HOG0013467
ARHGAP4	N3.HOG0013472
SATL1	N3.HOG0017875
LOC107035198	N3.HOG0017060
LOC107035198	N3.HOG0017060
LOC102536235	N3.HOG0018298
CDR1	N3.HOG0013552
CDR1	N3.HOG0013552
LOC116277481	N3.HOG0002038
LOC116277481	N3.HOG0002038
CACNA1I	N3.HOG0003357
CDH15	N3.HOG0013663
ADAMTS1	N3.HOG0003737
LRFN3	N3.HOG0013684
ARHGAP33	N3.HOG0013690
ETV2	N3.HOG0013697
TSHZ3	N3.HOG0013728
OBSCN	N3.HOG0002044
OBSCN	N3.HOG0002044
LOC116277662	N3.HOG0000028
PHLDB2	N3.HOG0013752
MORC1	N3.HOG0013756
GBE1	N3.HOG0013808
LOC102543639	N3.HOG0000141
NFATC1	N3.HOG0013824
LOC102525112	N3.HOG0017112
DND1	N3.HOG0004625
LOC102541201	N3.HOG0001729
LOC116277840	N3.HOG0001343
KCNK12	N3.HOG0013887
KCNK12	N3.HOG0013887
ABCG8	N3.HOG0013906
ZCCHC18	N3.HOG0000728
LOC102535510	N3.HOG0018666
VPS39	N3.HOG0014033
RPGRIP1	N3.HOG0014120
RPGRIP1	N3.HOG0014120
IRGQ	N3.HOG0004647
MYO5A	N3.HOG0013953
TNFAIP8L3	N3.HOG0013964
USP50	N3.HOG0013968
SLC28A2	N3.HOG0003400
MAP1A	N3.HOG0014011
EPB42	N3.HOG0014019
STARD9	N3.HOG0014025
LOC102527943	N3.HOG0001569
RASGRP1	N3.HOG0014078
NUTM1	N3.HOG0014096
TEP1	N3.HOG0014107
ZNF219	N3.HOG0014118
TCF7	N3.HOG0014168
FBN2	N3.HOG0014192
CCNJL	N3.HOG0004680
KCNN2	N3.HOG0014229
ARX	N3.HOG0014288
NHSL2	N3.HOG0014320
WDR27	N3.HOG0018328
WDR27	N3.HOG0018328
LOC102533741	N3.HOG0018671
LOC102524823	N3.HOG0014326
LOC102543749	N3.HOG0017174
TTC34	N3.HOG0002070
PLCH2	N3.HOG0003446
